Fri, Apr 22, 2022
4:17:30 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
298.6000000	3069.0000000	0.0007974	0.0008385	0.0009000	0.0008138	-0.0008687	-0.0008851	-0.0008682	-0.0007836	0.1027964	0.1324695	0.0059709	-0.0381188	-0.1157850	-0.1296589	0.0040610	0.0344987
300.1000000	123.0299988	0.0008642	0.0009000	0.0009000	0.0008913	-0.0009000	-0.0009000	-0.0009000	-0.0008525	0.1016278	0.1255517	0.0225305	-0.0201452	-0.1054491	-0.1199158	-0.0145205	0.0163179
301.6000000	-2869.0000000	0.0008908	0.0009000	0.0009000	0.0009000	-0.0009000	-0.0009000	-0.0009000	-0.0008812	0.1013281	0.1183388	0.0389115	-0.0020479	-0.0988750	-0.1161651	-0.0320749	-0.0016593
303.4000000	3070.0000000	0.0009000	0.0009000	0.0009000	0.0009000	-0.0009000	-0.0009000	-0.0009000	-0.0009000	0.0905397	0.1090116	0.0017441	-0.0323855	-0.0929908	-0.1033007	0.0033040	0.0314024
304.9000000	123.3099976	0.0009000	0.0009000	0.0009000	0.0009000	-0.0009000	-0.0009000	-0.0009000	-0.0009000	0.0827348	0.0971656	0.0157382	-0.0145111	-0.0826359	-0.0946061	-0.0120519	0.0133922
306.4000000	-2869.0000000	0.0009000	0.0009000	0.0009000	0.0009000	-0.0009000	-0.0009000	-0.0009000	-0.0009000	0.0798862	0.0918739	0.0291575	0.0003449	-0.0777801	-0.0914698	-0.0261226	-0.0018204
308.2000000	3069.0000000	0.0009000	0.0009000	0.0009000	0.0009000	-0.0009000	-0.0009000	-0.0009000	-0.0009000	0.0717726	0.0850123	-0.0003145	-0.0250779	-0.0730719	-0.0820130	0.0023719	0.0246328
309.7000000	123.1900024	0.0009000	0.0009000	0.0009000	0.0009000	-0.0009000	-0.0009000	-0.0009000	-0.0009000	0.0660587	0.0767039	0.0113765	-0.0109530	-0.0655660	-0.0752712	-0.0098454	0.0101071
311.3000000	-2869.0000000	0.0009000	0.0009000	0.0009000	0.0009000	-0.0009000	-0.0009000	-0.0009000	-0.0009000	0.0630981	0.0722079	0.0221481	0.0009650	-0.0616291	-0.0722552	-0.0209307	-0.0019407
313.1000000	3069.0000000	0.0009000	0.0009000	0.0009000	0.0009000	-0.0009000	-0.0009000	-0.0009000	-0.0009000	0.0572399	0.0670020	-0.0010774	-0.0197701	-0.0577861	-0.0653177	0.0017323	0.0191947
314.5500000	123.0999985	0.0009000	0.0009000	0.0009000	0.0009000	-0.0009000	-0.0009000	-0.0009000	-0.0009000	0.0526891	0.0608184	0.0084842	-0.0085685	-0.0522307	-0.0600464	-0.0079632	0.0077956
316.0500000	-2868.0000000	0.0009000	0.0009000	0.0009000	0.0009000	-0.0009000	-0.0009000	-0.0009000	-0.0009000	0.0505933	0.0577949	0.0173055	0.0009785	-0.0495441	-0.0578182	-0.0168308	-0.0017884
317.9000000	3070.0000000	0.0009000	0.0009000	0.0009000	0.0009000	-0.0009000	-0.0009000	-0.0009000	-0.0009000	0.0461299	0.0535916	-0.0012209	-0.0158479	-0.0463817	-0.0526457	0.0012786	0.0151805
319.3500000	123.3499985	0.0009000	0.0009000	0.0009000	0.0009000	-0.0009000	-0.0009000	-0.0009000	-0.0009000	0.0424073	0.0488347	0.0065647	-0.0068484	-0.0421412	-0.0484734	-0.0065049	0.0061543
320.9000000	-2869.0000000	0.0009000	0.0009000	0.0009000	0.0009000	-0.0009000	-0.0009000	-0.0009000	-0.0009000	0.0407759	0.0466375	0.0137415	0.0007976	-0.0401332	-0.0467141	-0.0136246	-0.0015202
